slide_id,n_patches_ref,area_frac_hard,area_frac_soft,source
TCGA-AC-A6IV-01Z-00-DX1,2167,0.5824,0.5748,wsinfer_breast_tumor_resnet34
TCGA-AC-A6IX-01Z-00-DX1,5628,0.4044,0.4382,wsinfer_breast_tumor_resnet34
TCGA-AN-A0XP-01Z-00-DX1,11457,0.2,0.2369,wsinfer_breast_tumor_resnet34
TCGA-AO-A12H-01Z-00-DX1,53846,0.484,0.5012,wsinfer_breast_tumor_resnet34
TCGA-AR-A1AL-01Z-00-DX1,15992,0.3539,0.3601,wsinfer_breast_tumor_resnet34
TCGA-B6-A0RM-01Z-00-DX1,32443,0.0379,0.0962,wsinfer_breast_tumor_resnet34
TCGA-BH-A0H0-01Z-00-DX1,25864,0.104,0.1426,wsinfer_breast_tumor_resnet34
TCGA-BH-A18G-01Z-00-DX1,6499,0.9323,0.8959,wsinfer_breast_tumor_resnet34
TCGA-BH-A1ES-01Z-00-DX1,22338,0.5414,0.537,wsinfer_breast_tumor_resnet34
TCGA-C8-A12Q-01Z-00-DX1,21385,0.5718,0.5746,wsinfer_breast_tumor_resnet34
TCGA-C8-A12T-01Z-00-DX1,26872,0.5387,0.5377,wsinfer_breast_tumor_resnet34
TCGA-C8-A12W-01Z-00-DX1,21050,0.3371,0.3476,wsinfer_breast_tumor_resnet34
TCGA-C8-A131-01Z-00-DX1,18067,0.9309,0.9087,wsinfer_breast_tumor_resnet34
TCGA-C8-A1HI-01Z-00-DX1,20131,0.3586,0.3696,wsinfer_breast_tumor_resnet34
TCGA-D8-A1XU-01Z-00-DX1,17691,0.5378,0.5324,wsinfer_breast_tumor_resnet34
TCGA-D8-A27E-01Z-00-DX1,10452,0.1256,0.1494,wsinfer_breast_tumor_resnet34
TCGA-D8-A27I-01Z-00-DX1,9907,0.1634,0.2064,wsinfer_breast_tumor_resnet34
TCGA-E2-A14S-01Z-00-DX1,11069,0.3065,0.3167,wsinfer_breast_tumor_resnet34
TCGA-E2-A15I-01Z-00-DX1,9304,0.0086,0.0279,wsinfer_breast_tumor_resnet34
TCGA-E2-A1LB-01Z-00-DX1,18259,0.5687,0.5623,wsinfer_breast_tumor_resnet34
TCGA-E9-A1N6-01Z-00-DX1,24779,0.1681,0.2851,wsinfer_breast_tumor_resnet34
TCGA-E9-A1R4-01Z-00-DX1,15760,0.068,0.1375,wsinfer_breast_tumor_resnet34
TCGA-E9-A5UO-01Z-00-DX1,19244,0.1182,0.1563,wsinfer_breast_tumor_resnet34
