slide_id,n_patches,feature_dim,est_tissue_area_mm2,level0_width,level0_height,level0_magnification,target_magnification,patch_size,patch_size_level0,encoder
TCGA-AC-A6IV-01Z-00-DX1,1100,1024,18.022,17266,27936,40,20.0,256,512.0,uni_v1
TCGA-AC-A6IX-01Z-00-DX1,3814,1024,62.489,37410,58023,40,20.0,256,512.0,uni_v1
TCGA-AN-A0XP-01Z-00-DX1,5965,1024,97.731,59760,47454,40,20.0,256,512.0,uni_v1
TCGA-AO-A12H-01Z-00-DX1,28550,1024,467.763,61751,46761,20,20.0,256,256.0,uni_v1
TCGA-AR-A1AL-01Z-00-DX1,8435,1024,138.199,71400,57377,40,20.0,256,512.0,uni_v1
TCGA-B6-A0RM-01Z-00-DX1,16718,1024,273.908,154579,71810,40,20.0,256,512.0,uni_v1
TCGA-BH-A0H0-01Z-00-DX1,20524,1024,336.265,121613,83354,40,20.0,256,512.0,uni_v1
TCGA-BH-A18G-01Z-00-DX1,3505,1024,57.426,49794,42712,40,20.0,256,512.0,uni_v1
TCGA-BH-A1ES-01Z-00-DX1,11068,1024,181.338,92171,61592,40,20.0,256,512.0,uni_v1
TCGA-C8-A12Q-01Z-00-DX1,12190,1024,199.721,76160,62955,40,20.0,256,512.0,uni_v1
TCGA-C8-A12T-01Z-00-DX1,13490,1024,221.02,72969,73766,40,20.0,256,512.0,uni_v1
TCGA-C8-A12W-01Z-00-DX1,11087,1024,181.649,81872,79990,40,20.0,256,512.0,uni_v1
TCGA-C8-A131-01Z-00-DX1,9220,1024,151.06,54264,76913,40,20.0,256,512.0,uni_v1
TCGA-C8-A1HI-01Z-00-DX1,10919,1024,178.897,89488,66802,40,20.0,256,512.0,uni_v1
TCGA-D8-A1XU-01Z-00-DX1,12515,1024,205.046,90440,71290,40,20.0,256,512.0,uni_v1
TCGA-D8-A27E-01Z-00-DX1,12269,1024,201.015,102816,82101,40,20.0,256,512.0,uni_v1
TCGA-D8-A27I-01Z-00-DX1,10866,1024,178.029,75208,63122,40,20.0,256,512.0,uni_v1
TCGA-E2-A14S-01Z-00-DX1,15758,1024,258.179,99960,79809,40,20.0,256,512.0,uni_v1
TCGA-E2-A15I-01Z-00-DX1,7371,1024,120.766,88536,43660,40,20.0,256,512.0,uni_v1
TCGA-E2-A1LB-01Z-00-DX1,20832,1024,341.311,115191,73552,40,20.0,256,512.0,uni_v1
TCGA-E9-A1N6-01Z-00-DX1,17377,1024,284.705,102461,83465,40,20.0,256,512.0,uni_v1
TCGA-E9-A1R4-01Z-00-DX1,8948,1024,146.604,59976,71813,40,20.0,256,512.0,uni_v1
TCGA-E9-A5UO-01Z-00-DX1,10118,1024,165.773,73734,64250,40,20.0,256,512.0,uni_v1
TCGA-GI-A2C8-01Z-00-DX1,5399,1024,88.457,63784,39311,40,20.0,256,512.0,uni_v1
TCGA-Z7-A8R5-01Z-00-DX1,14237,1024,233.259,97607,76996,40,20.0,256,512.0,uni_v1
TCGA-A7-A3J0-01Z-00-DX1,1857,1024,30.425,130424,24335,40,20.0,256,512.0,uni_v1
TCGA-LD-A7W6-01Z-00-DX1,14749,1024,241.648,107567,70642,40,20.0,256,512.0,uni_v1
TCGA-E2-A1BD-01Z-00-DX1,20291,1024,332.448,112336,85688,40,20.0,256,512.0,uni_v1
TCGA-A7-A5ZV-01Z-00-DX1,5887,1024,96.453,145656,49405,40,20.0,256,512.0,uni_v1
TCGA-BH-A1FN-01Z-00-DX1,13439,1024,220.185,90251,83834,40,20.0,256,512.0,uni_v1
TCGA-BH-A0HU-01Z-00-DX1,17681,1024,289.686,94801,81467,40,20.0,256,512.0,uni_v1
TCGA-A8-A08H-01Z-00-DX1,2939,1024,48.153,70144,82176,40,20.0,256,512.0,uni_v1
TCGA-E2-A1B4-01Z-00-DX1,20678,1024,338.788,133280,88407,40,20.0,256,512.0,uni_v1
TCGA-A8-A097-01Z-00-DX1,3560,1024,58.327,38144,55040,40,20.0,256,512.0,uni_v1
TCGA-BH-A0DL-01Z-00-DX1,18600,1024,304.742,109453,72670,40,20.0,256,512.0,uni_v1
TCGA-EW-A423-01Z-00-DX1,17697,1024,289.948,114240,84527,40,20.0,256,512.0,uni_v1
TCGA-D8-A27T-01Z-00-DX2,10086,1024,165.249,105575,68424,40,20.0,256,512.0,uni_v1
TCGA-A2-A25E-01Z-00-DX1,13656,1024,223.74,89488,68661,40,20.0,256,512.0,uni_v1
TCGA-A8-A08C-01Z-00-DX1,2849,1024,46.678,83968,91392,40,20.0,256,512.0,uni_v1
TCGA-BH-A2L8-01Z-00-DX1,32853,1024,538.264,129472,84239,40,20.0,256,512.0,uni_v1
TCGA-A2-A4S0-01Z-00-DX1,21142,1024,346.391,106624,77452,40,20.0,256,512.0,uni_v1
TCGA-BH-A1EX-01Z-00-DX1,22140,1024,362.742,136337,82968,40,20.0,256,512.0,uni_v1
TCGA-OL-A5RX-01Z-00-DX1,839,1024,13.746,19327,23945,40,20.0,256,512.0,uni_v1
TCGA-WT-AB44-01Z-00-DX1,22642,1024,370.967,115535,87439,40,20.0,256,512.0,uni_v1
TCGA-BH-A0GY-01Z-00-DX1,19898,1024,326.009,122571,83858,40,20.0,256,512.0,uni_v1
TCGA-AR-A1AN-01Z-00-DX1,3825,1024,62.669,120904,48479,40,20.0,256,512.0,uni_v1
TCGA-A2-A4RY-01Z-00-DX1,16945,1024,277.627,86632,80946,40,20.0,256,512.0,uni_v1
TCGA-B6-A0I1-01Z-00-DX1,20960,1024,343.409,113288,87165,40,20.0,256,512.0,uni_v1
TCGA-A8-A07P-01Z-00-DX1,1783,1024,29.213,27392,40192,40,20.0,256,512.0,uni_v1
TCGA-AC-A8OR-01Z-00-DX1,1322,1024,21.66,22062,31527,40,20.0,256,512.0,uni_v1
TCGA-A2-A0EN-01Z-00-DX1,17032,1024,279.052,102815,88431,40,20.0,256,512.0,uni_v1
TCGA-A7-A13E-01Z-00-DX1,5436,1024,89.063,142800,30325,40,20.0,256,512.0,uni_v1
TCGA-AN-A0XL-01Z-00-DX1,6495,1024,106.414,65736,46019,40,20.0,256,512.0,uni_v1
TCGA-A2-A0YK-01Z-00-DX1,18617,1024,305.021,102733,80772,40,20.0,256,512.0,uni_v1
TCGA-LL-A8F5-01Z-00-DX1,26410,1024,432.701,107567,90462,40,20.0,256,512.0,uni_v1
TCGA-BH-A0AY-01Z-00-DX1,15822,1024,259.228,123528,67016,40,20.0,256,512.0,uni_v1
TCGA-E2-A570-01Z-00-DX1,28341,1024,464.339,125663,94544,40,20.0,256,512.0,uni_v1
TCGA-A2-A0CU-01Z-00-DX1,27451,1024,449.757,125444,90727,40,20.0,256,512.0,uni_v1
TCGA-AN-A0AJ-01Z-00-DX1,15353,1024,251.544,161839,69397,40,20.0,256,512.0,uni_v1
TCGA-OL-A66J-01Z-00-DX1,17649,1024,289.161,130304,247552,60,20.0,256,768.0,uni_v1
TCGA-C8-A135-01Z-00-DX1,14282,1024,233.996,70448,94153,40,20.0,256,512.0,uni_v1
TCGA-D8-A1Y1-01Z-00-DX2,15108,1024,247.529,77687,83362,40,20.0,256,512.0,uni_v1
TCGA-C8-A3M7-01Z-00-DX1,18383,1024,301.187,92344,81017,40,20.0,256,512.0,uni_v1
TCGA-AR-A1AO-01Z-00-DX1,1975,1024,32.358,109480,38485,40,20.0,256,512.0,uni_v1
TCGA-OL-A66I-01Z-00-DX1,3676,1024,60.228,66816,75520,60,20.0,256,768.0,uni_v1
TCGA-AQ-A54O-01Z-00-DX1,24793,1024,406.209,196111,57303,40,20.0,256,512.0,uni_v1
TCGA-OL-A6VO-01Z-00-DX1,2318,1024,37.978,126464,199936,60,20.0,256,768.0,uni_v1
TCGA-BH-A1EV-01Z-00-DX1,17811,1024,291.815,118095,82505,40,20.0,256,512.0,uni_v1
TCGA-AQ-A04J-01Z-00-DX1,10801,1024,176.964,152319,56763,40,20.0,256,512.0,uni_v1
TCGA-BH-A0E1-01Z-00-DX1,18327,1024,300.27,102461,82446,40,20.0,256,512.0,uni_v1
TCGA-A8-A09Z-01Z-00-DX1,6813,1024,111.624,98304,97536,40,20.0,256,512.0,uni_v1
TCGA-A2-A1FZ-01Z-00-DX1,17105,1024,280.248,114910,72168,40,20.0,256,512.0,uni_v1
TCGA-OL-A66P-01Z-00-DX1,6356,1024,104.137,81152,102656,60,20.0,256,768.0,uni_v1
TCGA-A7-A6VW-01Z-00-DX1,5099,1024,83.542,137088,31461,40,20.0,256,512.0,uni_v1
TCGA-S3-AA15-01Z-00-DX1,15632,1024,256.115,109559,72541,40,20.0,256,512.0,uni_v1
