level,method,round,mae_vs_truth,pearson_vs_truth,cred_auc,delta_c
0.0,none,0,0.11498012905779331,0.08277125932491956,,
0.0,coinfer,0,0.11498012905779331,0.08277125932491956,,
0.0,coinfer,1,0.11568590293843982,0.04903106320590031,,0.05855849234472095
0.0,coinfer,2,0.11721676792167476,0.048594353145329734,,0.05155912888943808
0.2,none,0,0.12752539141042107,-0.21414685504012002,,
0.2,coinfer,0,0.12752539141042107,-0.21414685504012002,0.8500000000000001,
0.2,coinfer,1,0.12046694740983577,-0.1690853242283292,0.8600000000000001,0.08402233022429365
0.2,coinfer,2,0.12497763457956984,-0.2048336763529849,0.84,0.057952546039128076
0.35,none,0,0.16710292589917963,-0.16679053969539157,,
0.35,coinfer,0,0.16710292589917963,-0.16679053969539157,0.7152777777777777,
0.35,coinfer,1,0.16331369591012784,-0.14642619671559665,0.736111111111111,0.08859730349010149
0.35,coinfer,2,0.16015621932601123,-0.1489041025183335,0.75,0.05723214380217457
0.5,none,0,0.16559238799921716,-0.2133757746166371,,
0.5,coinfer,0,0.16559238799921716,-0.2133757746166371,0.6923076923076924,
0.5,coinfer,1,0.15709666799785396,-0.15114737631226088,0.6987179487179487,0.07719005703580212
0.5,coinfer,2,0.15338301325168482,-0.15445390259027778,0.7051282051282051,0.07630088930913506
0.65,none,0,0.14252997807034207,0.16143449413703623,,
0.65,coinfer,0,0.14252997807034207,0.16143449413703623,0.7777777777777779,
0.65,coinfer,1,0.13212466452208693,0.17328105634928428,0.8194444444444444,0.09481576519815194
0.65,coinfer,2,0.12666366008283295,0.20530353745033736,0.8194444444444444,0.07024082821754957
