N,pooler,pearson,spearman,mae,rmse
1000,mean,0.5774606970704723,0.5807692307692308,0.16462641190910335,0.19251813229198977
1000,gmean_p5,0.738382156709541,0.6438461538461538,0.14570873345788318,0.1657239873777791
1000,q75,0.6303540562793917,0.6276923076923077,0.1568467624130249,0.18284731007777816
1000,top50,0.615223005503772,0.5261538461538462,0.15767992507108056,0.18906351246021746
1000,max,0.2760969899023154,0.27076923076923076,0.19964165936597186,0.23670513455538192
2000,mean,0.5849782211694027,0.5599999999999999,0.16179746788167954,0.19113199087120278
2000,gmean_p5,0.7457862968772473,0.6723076923076923,0.14425847714996337,0.16451927605903274
2000,q75,0.6705816802752017,0.6346153846153846,0.15139253707154593,0.17680573354913304
2000,top50,0.5854460121637738,0.5061538461538462,0.1596894430980682,0.1920414622270395
2000,max,0.28018977615631635,0.24769230769230768,0.20189238693173728,0.23590415799665979
5000,mean,0.5846036677629659,0.5807692307692308,0.16702860942904155,0.19231257820733508
5000,gmean_p5,0.7224488436029025,0.6830769230769231,0.14815224454657236,0.16945463817625245
5000,q75,0.6066548152458844,0.5792307692307693,0.1638383559527397,0.18678712848540033
5000,top50,0.5384000350452904,0.3992307692307692,0.170119181336085,0.1976207327724444
5000,max,0.28386169359366553,0.1723076923076923,0.19977269540913897,0.23450552272584851
full,mean,0.5993104894207858,0.5915384615384616,0.1629446332794825,0.18867884512858624
full,gmean_p5,0.7291102251650295,0.7092307692307692,0.14760121192391712,0.16792764429987966
full,q75,0.643578433217617,0.6076923076923076,0.15741605283244453,0.18006565617457285
full,top50,0.5177524989129725,0.4038461538461539,0.17156270248921712,0.20012413261144438
full,max,0.3592925958650772,0.2076923076923077,0.20284225186395644,0.23066114206126562
full,gmean_curr_1to5,0.7126388960352447,0.7230769230769231,0.14189005088233947,0.16868656524684236
